"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"09000","0","10","50","0","2020","A","",0,1545338,116390079703,19654785174,631761227,1448,75317,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1957,1.6,-125366,-7.5,-176660834,-0.2,-1023655913,-5.0,-53884422,-7.9,106,7.9,5546,7.9
"09001","0","10","70","0","2020","A","",37329,381279,36911201881,5250633352,168815854,1862,96809,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",561,1.5,-36327,-8.7,-317352753,-0.9,-339281820,-6.1,-15334811,-8.3,148,8.6,7661,8.6
"09003","0","10","70","0","2020","A","",29717,477795,35618575865,6146836450,196781233,1434,74548,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",525,1.8,-34247,-6.7,-199068703,-0.6,-343345222,-5.3,-17237067,-8.1,89,6.6,4597,6.6
"09005","0","10","70","0","2020","A","",6249,56898,3048681946,706775436,23160333,1030,53581,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",58,0.9,-4519,-7.4,51133484,1.7,-26044999,-3.6,-1838452,-7.4,91,9.7,4775,9.8
"09007","0","10","70","0","2020","A","",5610,63936,3930894958,778482549,24011161,1182,61482,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",87,1.6,-5361,-7.7,-68833179,-1.7,-49006115,-5.9,-2474583,-9.3,72,6.5,3763,6.5
"09009","0","10","70","0","2020","A","",25530,346832,21922741705,3994174292,130867153,1216,63209,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",340,1.3,-21202,-5.8,383441823,1.8,-105894990,-2.6,-9017179,-6.4,91,8.1,4684,8.0
"09011","0","10","70","0","2020","A","",7869,107630,6830027235,1289947667,38251992,1220,63458,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",107,1.4,-14869,-12.1,-167951618,-2.4,-91359184,-6.6,-4426830,-10.4,121,11.0,6331,11.1
"09013","0","10","70","0","2020","A","",3364,37916,2091002075,370613432,11424180,1061,55149,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",31,0.9,-3040,-7.4,27381062,1.3,-13864470,-3.6,-712227,-5.9,92,9.5,4762,9.5
"09015","0","10","70","0","2020","A","",3061,35915,1774007813,416958828,13583691,950,49394,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,0.4,-2982,-7.7,-15434969,-0.9,-20236363,-4.6,-1165124,-7.9,65,7.3,3390,7.4
"09999","0","10","70","0","2020","A","",6224,37137,4262946225,700363168,24865630,2207,114790,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",238,4.0,-2819,-7.1,130024019,3.1,-34622750,-4.7,-1678149,-6.3,218,11.0,11353,11.0
