"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"09000","5","5112","56","0","2020","A","",685,0,0,78155590,2582963,2962,154029,"",1.40,0.77,0.55,0.58,0.69,0.72,0.72,"",7,1.0,-141,-3.2,16502248,2.6,-995247,-1.3,-179623,-6.5,165,5.9,8590,5.9
"09001","5","5112","76","0","2020","A","",274,2029,359401652,36279577,1194386,3407,177169,"",1.87,1.47,0.95,1.02,1.19,0.64,0.64,"",13,5.0,139,7.4,24553757,7.3,2688315,8.0,-23368,-1.9,1,0.0,40,0.0
"09003","5","5112","76","0","2020","A","",140,865,114528596,16648766,540639,2545,132339,"",1.20,0.50,0.31,0.40,0.46,0.62,0.62,"",-2,-1.4,-168,-16.3,5922342,5.5,-1828165,-9.9,-102532,-15.9,523,25.9,27185,25.9
"09005","5","5112","76","0","2020","A","",16,72,8142685,1220364,38966,2188,113751,"",0.65,0.35,0.26,0.25,0.28,0.75,0.75,"",1,6.7,-10,-12.2,-36609,-0.4,-116981,-8.7,-7667,-16.4,260,13.5,13494,13.5
"09007","5","5112","76","0","2020","A","",21,67,7683552,1091051,42802,2197,114254,"",0.95,0.29,0.19,0.21,0.30,0.65,0.65,"",-5,-19.2,0,0.0,403590,5.5,-76001,-6.5,-3241,-7.0,100,4.8,5191,4.8
"09009","5","5112","76","0","2020","A","",110,453,50896638,9334250,310124,2162,112437,"",1.10,0.36,0.23,0.34,0.40,0.62,0.62,"",1,0.9,-138,-23.4,-20793579,-29.0,-2180641,-18.9,-60753,-16.4,-170,-7.3,-8832,-7.3
"09011","5","5112","76","0","2020","A","",22,359,30712370,5507228,257731,1645,85530,"",0.71,0.92,0.44,0.63,1.14,0.47,0.47,"",1,4.8,-16,-4.3,-502465,-1.6,-386734,-6.6,5710,2.3,46,2.9,2383,2.9
"09013","5","5112","76","0","2020","A","N",19,0,0,0,0,0,0,"N",1.44,0,0,0,0,0,0,"N",-1,-5.0,0,0,0,0,0,0,0,0,0,0,0,0
"09015","5","5112","76","0","2020","A","",8,15,1159940,273682,6610,1479,76902,"",0.67,0.12,0.06,0.10,0.08,0.55,0.55,"",-3,-27.3,1,7.1,49559,4.5,55082,25.2,1323,25.0,-55,-3.6,-2886,-3.6
"09999","5","5112","76","0","2020","A","N",75,0,0,0,0,0,0,"N",3.07,0,0,0,0,0,0,"N",1,1.4,0,0,0,0,0,0,0,0,0,0,0,0
