"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"49000","0","10","50","0","2020","A","",0,1504751,82595849216,36800875371,151322799,1056,54890,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4915,4.5,-15937,-1.0,5396761405,7.0,1824361059,5.2,-21295,0.0,80,8.2,4124,8.1
"49001","0","10","70","0","2020","A","",246,2743,102407130,53888152,197301,718,37336,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,2.5,-35,-1.3,7634412,8.1,2286481,4.4,-72555,-26.9,62,9.5,3226,9.5
"49003","0","10","70","0","2020","A","",1481,21223,908082914,502070521,1994757,823,42787,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",39,2.7,-461,-2.1,32090479,3.7,11758520,2.4,-44799,-2.2,46,5.9,2390,5.9
"49005","0","10","70","0","2020","A","",3948,58296,2468117970,1201287202,3596565,814,42338,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",139,3.6,938,1.6,227201870,10.1,103147577,9.4,282921,8.5,63,8.4,3269,8.4
"49007","0","10","70","0","2020","A","",624,8490,381331231,184444169,937594,864,44915,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,1.6,-125,-1.5,7956196,2.1,10388601,6.0,-2452,-0.3,31,3.7,1575,3.6
"49009","0","10","70","0","2020","A","",49,403,15162383,5882650,64147,723,37600,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,2.1,19,4.9,2458152,19.3,1257363,27.2,5568,9.5,86,13.5,4487,13.6
"49011","0","10","70","0","2020","A","",9351,133033,6825906636,2989696095,10517486,987,51310,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",348,3.9,-22,0.0,553055935,8.8,196564175,7.0,-1061695,-9.2,80,8.8,4165,8.8
"49013","0","10","70","0","2020","A","",816,7584,361134359,162352687,1277706,916,47615,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-253,-3.2,-3614007,-1.0,-3134524,-1.9,-382641,-23.0,21,2.3,1075,2.3
"49015","0","10","70","0","2020","A","",260,3266,151761216,71505614,676365,894,46469,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.8,37,1.1,5535507,3.8,2568886,3.7,-127189,-15.8,23,2.6,1177,2.6
"49017","0","10","70","0","2020","A","",266,2197,82922205,34110592,636697,726,37738,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,1.5,-244,-10.0,2677351,3.3,-4710754,-12.1,-323613,-33.7,94,14.9,4869,14.8
"49019","0","10","70","0","2020","A","",612,5645,214237038,123819196,1195260,730,37949,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,1.8,-427,-7.0,2060600,1.0,-2228427,-1.8,-116714,-8.9,58,8.6,3008,8.6
"49021","0","10","70","0","2020","A","",1829,20105,760828764,384806980,1300110,728,37843,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",94,5.4,393,2.0,71798202,10.4,34050091,9.7,91494,7.6,56,8.3,2888,8.3
"49023","0","10","70","0","2020","A","",316,3868,148705478,68862630,254199,739,38448,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",14,4.6,68,1.8,12603557,9.3,5141569,8.1,-6213,-2.4,50,7.3,2634,7.4
"49025","0","10","70","0","2020","A","",367,3573,131468918,63427780,325382,708,36797,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",19,5.5,-47,-1.3,8603121,7.0,4404148,7.5,-67982,-17.3,55,8.4,2855,8.4
"49027","0","10","70","0","2020","A","",397,4733,205527190,97069155,312362,835,43428,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.3,-63,-1.3,5529243,2.8,3353927,3.6,5275,1.7,33,4.1,1725,4.1
"49029","0","10","70","0","2020","A","",387,2589,123377249,57868295,248591,916,47653,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",25,6.9,20,0.8,13242365,12.0,3670222,6.8,6725,2.8,92,11.2,4786,11.2
"49031","0","10","70","0","2020","A","",50,282,8605066,4452658,9772,587,30541,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,6.4,-5,-1.7,536539,6.6,362348,8.9,2509,34.5,46,8.5,2411,8.6
"49033","0","10","70","0","2020","A","",140,883,26957645,15367874,100621,587,30541,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,4.5,-8,-0.9,1371624,5.4,648960,4.4,8986,9.8,35,6.3,1828,6.4
"49035","0","10","70","0","2020","A","",51034,706782,44211426840,18805411096,80555650,1203,62553,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2524,5.2,-13844,-1.9,2814406010,6.8,815459587,4.5,1704039,2.2,98,8.9,5107,8.9
"49037","0","10","70","0","2020","A","",335,3886,151865089,62381109,458260,751,39076,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-17,-4.8,-469,-10.8,-5911082,-3.7,-5261274,-7.8,-247813,-35.1,54,7.7,2849,7.9
"49039","0","10","70","0","2020","A","",644,8297,302083576,126593790,429128,700,36409,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,0.6,143,1.8,22330830,8.0,12347374,10.8,-30667,-6.7,40,6.1,2099,6.1
"49041","0","10","70","0","2020","A","",736,8996,359041065,182535447,741106,768,39911,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",17,2.4,-46,-0.5,16637835,4.9,8000612,4.6,19268,2.7,40,5.5,2043,5.4
"49043","0","10","70","0","2020","A","",3115,25578,1337833739,709279621,4053391,1006,52303,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",95,3.1,-2537,-9.0,-10570571,-0.8,-11728802,-1.6,-371582,-8.4,84,9.1,4342,9.1
"49045","0","10","70","0","2020","A","",1257,17502,787830228,381038914,1620823,866,45014,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",48,4.0,987,6.0,93870423,13.5,48986445,14.8,223885,16.0,58,7.2,2994,7.1
"49047","0","10","70","0","2020","A","",1258,11935,523838943,265744675,2294511,844,43893,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.1,-1054,-8.1,-51580129,-9.0,-19694936,-6.9,-574282,-20.0,-8,-0.9,-407,-0.9
"49049","0","10","70","0","2020","A","",18760,253406,13577408069,6052537896,21266782,1030,53580,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",888,5.0,1821,0.7,991826617,7.9,373858065,6.6,1229754,6.1,68,7.1,3555,7.1
"49051","0","10","70","0","2020","A","",1289,10154,481367178,231803067,977950,912,47407,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",70,5.7,-67,-0.7,28245255,6.2,10151234,4.6,-33412,-3.3,59,6.9,3074,6.9
"49053","0","10","70","0","2020","A","",6701,70585,2881211238,1536356926,5339741,785,40819,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",375,5.9,750,1.1,242193822,9.2,114445033,8.0,51384,1.0,58,8.0,3030,8.0
"49055","0","10","70","0","2020","A","",143,1059,38022840,19500963,227681,690,35896,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-1.4,-24,-2.2,2381254,6.7,1057481,5.7,-29922,-11.6,57,9.0,2996,9.1
"49057","0","10","70","0","2020","A","",6576,107658,5027387019,2406779617,9712861,898,46698,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",195,3.1,-1381,-1.3,302189995,6.4,107211077,4.7,-159572,-1.6,65,7.8,3363,7.8
