"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"38000","5","5112","56","0","2020","A","",0,1350,0,53860769,81200,2882,149886,"",0.41,0.94,0.90,0.84,0.19,0.95,0.95,"",12,30.0,58,4.5,21394716,11.8,3255847,6.4,-302667,-78.8,188,7.0,9792,7.0
"38003","5","5112","76","0","2020","A","N",1,0,0,0,0,0,0,"N",0.60,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"38015","5","5112","76","0","2020","A","",8,32,2245690,1291173,9399,1336,69454,"",0.52,0.16,0.07,0.17,0.19,0.44,0.44,"",2,33.3,2,6.7,322952,16.8,176117,15.8,3253,52.9,120,9.9,6241,9.9
"38017","5","5112","76","0","2020","A","N",24,0,0,0,0,0,0,"N",0.81,0,0,0,0,0,0,"N",7,41.2,0,0,0,0,0,0,0,0,0,0,0,0
"38035","5","5112","76","0","2020","A","N",6,0,0,0,0,0,0,"N",0.65,0,0,0,0,0,0,"N",2,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"38059","5","5112","76","0","2020","A","N",1,0,0,0,0,0,0,"N",0.24,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"38075","5","5112","76","0","2020","A","N",1,0,0,0,0,0,0,"N",1.82,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"38081","5","5112","76","0","2020","A","N",1,0,0,0,0,0,0,"N",1.53,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"38089","5","5112","76","0","2020","A","N",1,0,0,0,0,0,0,"N",0.18,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"38093","5","5112","76","0","2020","A","N",1,0,0,0,0,0,0,"N",0.31,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"38101","5","5112","76","0","2020","A","",4,3,333891,88960,908,2266,117844,"",0.43,0.03,0.02,0.02,0.02,0.79,0.79,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"38105","5","5112","76","0","2020","A","N",2,0,0,0,0,0,0,"N",0.24,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"38999","5","5112","76","0","2020","A","N",3,0,0,0,0,0,0,"N",1.11,0,0,0,0,0,0,"N",-2,-40.0,0,0,0,0,0,0,0,0,0,0,0,0
