"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"44999","5","999999","78","0","2020","A","",75,50,4166838,2626846,28824,1592,82785,"",0.82,4.69,3.94,4.66,1.51,0.84,0.84,"",16,27.1,12,31.6,1368272,48.9,1046358,66.2,8897,44.6,157,10.9,8157,10.9
"44999","5","99999","77","0","2020","A","",75,50,4166838,2626846,28824,1592,82785,"",0.82,4.69,3.94,4.66,1.51,0.84,0.84,"",16,27.1,12,31.6,1368272,48.9,1046358,66.2,8897,44.6,157,10.9,8157,10.9
"44999","5","9999","76","0","2020","A","",75,50,4166838,2626846,28824,1592,82785,"",0.82,4.69,3.94,4.66,1.51,0.84,0.84,"",16,27.1,12,31.6,1368272,48.9,1046358,66.2,8897,44.6,157,10.9,8157,10.9
"44999","5","999","75","0","2020","A","",75,50,4166838,2626846,28824,1592,82785,"",0.82,4.69,3.94,4.66,1.51,0.84,0.84,"",16,27.1,12,31.6,1368272,48.9,1046358,66.2,8897,44.6,157,10.9,8157,10.9
"44999","5","99","74","0","2020","A","",75,50,4166838,2626846,28824,1592,82785,"",0.82,4.69,3.94,4.66,1.51,0.84,0.84,"",16,27.1,12,31.6,1368272,48.9,1046358,66.2,8897,44.6,157,10.9,8157,10.9
"44999","5","814110","78","0","2020","A","N",5,0,0,0,0,0,0,"N",0.05,0,0,0,0,0,0,"N",-1,-16.7,0,0,0,0,0,0,0,0,0,0,0,0
"44999","5","81411","77","0","2020","A","N",5,0,0,0,0,0,0,"N",0.05,0,0,0,0,0,0,"N",-1,-16.7,0,0,0,0,0,0,0,0,0,0,0,0
"44999","5","8141","76","0","2020","A","N",5,0,0,0,0,0,0,"N",0.05,0,0,0,0,0,0,"N",-1,-16.7,0,0,0,0,0,0,0,0,0,0,0,0
"44999","5","814","75","0","2020","A","N",5,0,0,0,0,0,0,"N",0.05,0,0,0,0,0,0,"N",-1,-16.7,0,0,0,0,0,0,0,0,0,0,0,0
"44999","5","813990","78","0","2020","A","N",1,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
