"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"49000","5","5112","56","0","2020","A","",0,0,0,538299720,1971791,2511,130585,"",2.36,2.41,2.01,2.15,2.20,0.83,0.83,"",251,31.7,1031,8.5,213603619,14.3,57885990,12.0,222067,12.7,126,5.3,6546,5.3
"49005","5","5112","76","0","2020","A","",9,131,9556256,5171448,8359,1405,73041,"",0.58,0.62,0.38,0.63,0.39,0.61,0.61,"N",2,28.6,0,0,0,0,0,0,0,0,0,0,0,0
"49007","5","5112","76","0","2020","A","N",1,0,0,0,0,0,0,"N",0.41,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"49011","5","5112","76","0","2020","A","",48,209,19465552,7973723,40348,1791,93137,"",1.31,0.44,0.28,0.39,0.65,0.64,0.64,"",16,50.0,48,29.8,7061720,56.9,2407093,43.2,20302,101.3,305,20.5,15855,20.5
"49017","5","5112","76","0","2020","A","N",1,0,0,0,0,0,0,"N",0.96,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"49019","5","5112","76","0","2020","A","N",1,0,0,0,0,0,0,"N",0.42,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"49021","5","5112","76","0","2020","A","N",3,0,0,0,0,0,0,"N",0.42,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"49023","5","5112","76","0","2020","A","N",1,0,0,0,0,0,0,"N",0.81,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"49025","5","5112","76","0","2020","A","N",1,0,0,0,0,0,0,"N",0.70,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"49027","5","5112","76","0","2020","A","N",2,0,0,0,0,0,0,"N",1.28,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"49029","5","5112","76","0","2020","A","N",2,0,0,0,0,0,0,"N",1.32,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"49035","5","5112","76","0","2020","A","",684,6120,777354158,262843295,1131610,2443,127012,"",3.42,2.40,1.71,2.06,2.37,0.71,0.71,"",162,31.0,479,8.5,84061800,12.1,30625225,13.2,145502,14.8,79,3.3,4102,3.3
"49043","5","5112","76","0","2020","A","",33,165,24149469,9364154,47975,2809,146065,"",2.70,1.79,1.75,1.94,1.99,0.98,0.98,"",10,43.5,16,10.7,9080373,60.3,2852925,43.8,21282,79.7,861,44.2,44760,44.2
"49045","5","5112","76","0","2020","A","N",3,0,0,0,0,0,0,"N",0.61,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0
"49047","5","5112","76","0","2020","A","N",2,0,0,0,0,0,0,"N",0.41,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"49049","5","5112","76","0","2020","A","",210,6246,865543582,246225432,716563,2665,138585,"",2.86,6.83,6.20,5.98,5.68,0.91,0.91,"",45,27.3,433,7.4,108488388,14.3,20248596,9.0,20170,2.9,161,6.4,8356,6.4
"49051","5","5112","76","0","2020","A","",6,4,533753,237359,964,2566,133438,"",1.19,0.11,0.11,0.15,0.17,0.99,0.99,"N",1,20.0,0,0,0,0,0,0,0,0,0,0,0,0
"49053","5","5112","76","0","2020","A","",18,83,5588045,2235198,11009,1295,67326,"",0.69,0.33,0.19,0.21,0.35,0.58,0.58,"",4,28.6,6,7.8,1356460,32.1,-171041,-7.1,4654,73.2,234,22.1,12131,22.0
"49057","5","5112","76","0","2020","A","",19,72,4920466,2514918,5632,1314,68340,"",0.74,0.19,0.10,0.15,0.10,0.51,0.51,"N",7,58.3,0,0,0,0,0,0,0,0,0,0,0,0
