"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"56000","0","10","50","0","2020","A","",0,0,13306286278,4861037367,48970739,981,50986,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",572,2.1,-16137,-5.8,-516272866,-3.7,-259874281,-5.1,-27481831,-35.9,22,2.3,1106,2.2
"56001","0","10","70","0","2020","A","",1400,15370,685615959,194925397,1409919,858,44608,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",37,2.7,-304,-1.9,28884443,4.4,7230868,3.9,-125337,-8.2,52,6.5,2707,6.5
"56003","0","10","70","0","2020","A","",479,4103,177912377,63808090,1218720,834,43366,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,1.9,-17,-0.4,8983206,5.3,4281185,7.2,-35035,-2.8,45,5.7,2359,5.8
"56005","0","10","70","0","2020","A","",1866,23382,1365954451,494460348,4932970,1123,58420,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",24,1.3,-1796,-7.1,-130998867,-8.8,-44120769,-8.2,-4390372,-47.1,-20,-1.7,-1035,-1.7
"56007","0","10","70","0","2020","A","",681,6898,361693596,130713588,1544338,1008,52434,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,1.3,-146,-2.1,10619278,3.0,-2633769,-2.0,-406269,-20.8,50,5.2,2594,5.2
"56009","0","10","70","0","2020","A","",613,6184,360711678,131406027,1316970,1122,58333,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.2,-1162,-15.8,-70633694,-16.4,-49196450,-27.2,-1439508,-52.2,-7,-0.6,-383,-0.7
"56011","0","10","70","0","2020","A","",316,2484,117767166,48614512,539369,912,47407,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,1.0,16,0.6,4827812,4.3,4799517,11.0,-166820,-23.6,32,3.6,1638,3.6
"56013","0","10","70","0","2020","A","",1758,14639,640836880,248286390,3050671,842,43775,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",27,1.6,-576,-3.8,-1625462,-0.3,-4054923,-1.6,-1267001,-29.3,30,3.7,1548,3.7
"56015","0","10","70","0","2020","A","",456,4020,162800197,49118022,429828,779,40498,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,1.1,-134,-3.2,1586911,1.0,-208472,-0.4,-53923,-11.1,33,4.4,1686,4.3
"56017","0","10","70","0","2020","A","",267,1833,71973601,24731942,189033,755,39265,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,4.3,-27,-1.5,432682,0.6,640918,2.7,-106614,-36.1,15,2.0,804,2.1
"56019","0","10","70","0","2020","A","",507,3048,124191104,45631931,415897,783,40741,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,1.8,-179,-5.5,-1463659,-1.2,-1057298,-2.3,-143214,-25.6,34,4.5,1806,4.6
"56021","0","10","70","0","2020","A","",3981,45569,2316237454,777923346,6875826,977,50829,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",199,5.3,-1277,-2.7,30534742,1.3,2873372,0.4,-2030515,-22.8,39,4.2,2038,4.2
"56023","0","10","70","0","2020","A","",954,6537,331133505,122483233,987140,974,50655,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",26,2.8,36,0.6,15102744,4.8,1933593,1.6,-51252,-4.9,39,4.2,2040,4.2
"56025","0","10","70","0","2020","A","",3597,36491,1853284384,758524875,8186679,977,50787,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",52,1.5,-2641,-6.7,-182228798,-9.0,-39740855,-5.0,-5763048,-41.3,-23,-2.3,-1230,-2.4
"56027","0","10","70","0","2020","A","",129,852,33376012,8553699,67871,753,39178,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-3.0,-16,-1.8,846926,2.6,395635,4.8,-9329,-12.1,32,4.4,1688,4.5
"56029","0","10","70","0","2020","A","",1627,12960,569239539,210027295,2311418,845,43923,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",58,3.7,-779,-5.7,-5002246,-0.9,-2590389,-1.2,-730131,-24.0,41,5.1,2125,5.1
"56031","0","10","70","0","2020","A","",401,3398,154282684,55452131,499145,873,45398,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.7,-165,-4.6,-15924580,-9.4,-8741608,-13.6,-373582,-42.8,-46,-5.0,-2371,-5.0
"56033","0","10","70","0","2020","A","",1464,13216,609291400,221167229,2257648,887,46101,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",30,2.1,-219,-1.6,19054121,3.2,2609363,1.2,-724454,-24.3,42,5.0,2168,4.9
"56035","0","10","70","0","2020","A","",553,3640,199177649,71400444,635967,1052,54714,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,1.7,-338,-8.5,-24256913,-10.9,-8081367,-10.2,-718478,-53.0,-28,-2.6,-1449,-2.6
"56037","0","10","70","0","2020","A","",1621,20121,1192421971,397832424,3343171,1140,59264,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,0.5,-2172,-9.7,-151398833,-11.3,-54159107,-12.0,-3200973,-48.9,-19,-1.6,-1017,-1.7
"56039","0","10","70","0","2020","A","",2545,19106,1144959300,458898453,4349183,1152,59926,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",88,3.6,-2323,-10.8,39847745,3.6,-27019266,-5.6,-1656058,-27.6,160,16.1,8355,16.2
"56041","0","10","70","0","2020","A","",776,7847,334987466,131706063,1114690,821,42688,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,1.0,-445,-5.4,-13487365,-3.9,-6920493,-5.0,-895488,-44.5,13,1.6,660,1.6
"56043","0","10","70","0","2020","A","",438,3467,154406704,60093586,736966,856,44535,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-0.9,-51,-1.4,4622366,3.1,1704410,2.9,-81366,-9.9,37,4.5,1956,4.6
"56045","0","10","70","0","2020","A","",285,2271,103394894,33850798,380247,875,45523,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.7,-74,-3.2,3535649,3.5,-730331,-2.1,-112165,-22.8,56,6.8,2939,6.9
"56999","0","10","70","0","2020","A","",592,3540,240636307,121427544,2177073,1307,67984,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-29,-4.7,-1352,-27.6,-88131074,-26.8,-37088045,-23.4,-3000899,-58.0,15,1.2,780,1.2
